56   110  1
57   1  1
57   2  1
57   8  1
57   19  1
57   27  1
57   33  2
57   52  1
57   57  2
57   66  1
57   98  1
58   1  1
58   2  6
58   54  1
58   55  1
58   57  1
58   103  4
59   1  1
59   2  1
59   12  1
59   13  1
59   33  1
59   45  2
59   48  1
59   52  1
59   103  2
60   1  4
60   2  1
60   28  1
60   48  1
60   63  1
60   69  2
60   103  1
61   1  11
61   2  2
61   6  3
61   9  1
61   11  1
61   14  1
61   19  2
61   22  2
61   27  22
61   28  1
61   30  1
61   32  1
61   33  2
61   37  1
61   39  1
61   47  5
61   48  5
61   49  7
61   52  7
61   54  1
61   56  1
61   57  2
61   66  1
61   71  1
61   83  1
61   89  2
61   100  1
61   103  1
61   108  2
61   110  1
62   1  1
62   6  3
62   11  1
62   13  1
62   27  1
62   45  5
62   48  1
62   49  1
62   90  1
63   1  1
63   11  2
63   19  1
63   21  1
63   27  5
63   35  1
63   45  1
63   51  1
63   52  2
63   55  1
63   56  1
63   83  1
63   100  2
63   108  1
64   1  1
64   27  3
65   1  1
65   2  1
65   27  1
65   39  3
65   52  1
65   70  1
65   102  1
65   103  2
66   1  2
66   6  4
66   9  1
66   11  2
66   14  7
66   19  4
66   21  3
66   27  16
66   28  5
66   32  2
66   33  1
66   37  2
66   39  3
66   45  3
66   47  9
66   48  5
66   49  7
66   50  1
66   51  2
66   52  15
66   54  5
66   55  1
66   56  2
66   57  3
66   58  1
66   62  1
66   67  1
66   69  1
66   70  2
66   71  4
66   74  1
66   83  3
66   89  2
66   90  1
66   91  2
66   94  1
66   98  1
66   100  1
66   101  1
66   103  6
66   104  2
66   108  6
66   110  1
67   1  2
67   49  1
67   104  1
68   1  2
68   52  1
68   104  1
69   1  2
69   27  1
69   39  1
69   103  1
70   1  4
70   2  1
70   6  1
70   11  1
70   14  3
70   27  3
70   48  3
70   51  1
70   52  2
70   89  1
70   103  2
70   104  1
71   1  5
71   2  1
71   27  6
71   49  1
71   52  3
71   54  1
71   56  1
71   67  1
71   103  1
72   1  7
73   1  3
73   2  1
74   1  2
74   2  1
74   49  1
74   52  4
74   54  2
74   56  1
74   89  1
75   1  2
76   1  1
76   66  1
77   1  4
77   2  2
77   28  6
77   47  1
77   48  1
77   49  1
77   52  2
77   63  3
77   83  2
77   103  1
78   1  2
78   2  2
78   27  1
78   37  1
78   39  2
78   49  1
78   52  15
78   54  1
78   55  3
78   103  3
78   110  1
79   1  7
79   14  1
79   39  1
79   55  6
79   103  10
79   104  2
80   1  1
80   52  1
81   1  2
82   1  2
83   1  3
83   13  1
84   1  2
84   48  1
85   1  1
86   1  1
86   2  1
86   39  1
86   52  1
86   53  1
86   66  1
86   70  4
87   1  1
88   1  1
88   9  2
88   11  4
88   19  6
88   27  4
88   28  1
88   32  3
88   35  1
88   45  3
88   48  2
88   49  2
88   52  1
88   54  2
88   56  1
88   57  2
88   62  3
88   63  1
88   69  3
88   71  2
88   74  1
88   83  4
88   91  1
88   100  1
88   108  3
88   110  3
89   1  1
89   22  1
89   32  1
89   49  1
89   71  2
89   91  1
90   1  1
91   1  1
91   6  1
91   91  1
92   1  6
92   2  3
92   27  1
92   48  4
92   103  1
93   1  1
93   2  1
93   47  1
94   1  1
95   1  1
96   1  1
97   1  3
97   2  1
98   1  1
99   1  4
99   9  1
99   27  7
99   28  2
99   39  2
99   45  1
99   47  5
99   48  8
99   50  1
99   51  2
99   52  2
99   54  1
99   55  1
99   104  1
99   108  1
100   1  6
100   27  4
100   52  1
100   53  1
100   54  2
100   55  1
100   56  1
100   66  1
100   103  1
100   104  1
101   1  3
101   33  2
101   48  11
101   51  3
101   62  1
101   66  1
101   108  2
102   1  1
103   1  1
104   1  2
104   27  70
105   1  2
105   2  1
105   27  1
105   45  2
105   47  1
105   48  1
105   56  1
105   83  1
105   108  2
106   1  1
107   1  2
107   2  1
107   6  1
107   43  1
107   52  9
108   1  3
108   2  7
108   39  2
108   52  2
108   53  2
108   55  1
108   56  6
108   89  6
108   104  2
109   1  5
109   8  1
109   13  1
109   14  1
109   27  4
109   52  5
109   53  1
109   55  1
109   66  2
109   67  1
110   1  2
110   6  1
110   13  2
110   27  6
110   33  5
110   45  3
110   48  1
110   52  1
110   56  7
110   66  1
110   103  3
111   1  1
111   27  3
111   49  1
111   55  1
111   103  3
112   1  11
112   2  3
112   6  1
112   13  1
112   19  1
112   27  12
112   28  1
112   39  2
112   43  1
112   48  1
112   49  1
112   52  10
112   54  4
112   55  2
112   56  2
112   57  1
112   101  1
112   103  12
112   104  4
112   108  1
112   110  1
113   1  1
114   1  2
115   1  1
116   1  7
116   2  30
116   52  4
116   56  4
116   103  1
117   1  1
118   1  1
118   52  2
118   53  1
118   66  1
119   1  2
119   66  1
120   1  13
120   2  1
120   12  1
120   13  2
120   14  1
120   18  1
120   27  8
120   28  1
120   32  1
120   37  1
120   39  5
120   41  1
120   45  2
120   52  7
120   55  1
120   56  1
120   71  4
120   83  5
120   100  1
120   103  3
121   1  1
122   1  1
122   14  3
122   30  1
122   37  1
122   70  1
123   1  1
124   1  1
125   1  1
126   1  3
127   1  3
127   13  1
127   103  1
128   1  1
128   39  1
128   104  1
129   1  9
129   2  1
130   1  7
130   2  9
130   13  1
130   27  10
130   39  3
130   52  12
130   53  2
130   54  6
130   55  2
130   56  3
130   103  3
130   104  4
131   1  1
131   54  1
132   1  2
132   52  1
132   54  1
132   56  2
133   1  1
134   1  2
135   1  3
135   32  2
135   47  1
135   48  3
135   57  1
135   66  1
135   83  1
136   1  1
137   1  1
137   19  1
137   27  4
137   28  1
137   39  1
137   52  3
137   55  1
137   103  2
138   1  1
139   1  1
139   27  2
139   100  2
140   1  1
141   1  1
141   12  2
141   17  1
141   27  3
141   28  4
141   32  1
141   39  1
141   52  2
141   53  1
141   54  2
141   55  2
141   56  1
141   66  1
141   83  4
141   103  1
141   110  1
142   1  1
142   52  2
143   1  1
144   1  1
145   1  1
146   1  1
147   1  5
147   12  2
147   27  1
147   37  2
147   39  5
147   52  19
147   54  1
147   55  1
147   56  1
147   63  2
147   66  1
147   89  1
147   100  1
147   104  1
148   1  1
148   13  1
148   14  1
148   52  1
148   66  1
148   102  3
148   103  1
149   1  1
150   1  1
151   1  1
152   1  1
152   14  1
152   19  1
152   27  7
152   43  1
152   52  3
152   103  5
153   1  1
153   27  2
153   52  1
154   1  5
154   2  1
154   27  5
154   67  1
154   80  1
155   1  2
156   1  6
156   27  1
156   103  3
156   104  3
156   110  1
157   1  1
157   2  2
158   1  1
159   1  1
160   1  3
160   14  1
160   28  20
160   37  3
160   39  1
160   49  1
160   83  14
160   102  2
160   104  1
161   1  1
162   1  1
162   66  1
163   1  1
164   1  1
165   1  1
166   1  1
167   1  6
167   2  2
167   33  1
167   52  1
167   67  1
167   103  5
168   1  1
169   1  1
169   27  2
169   103  1
170   1  1
171   1  3
171   22  3
171   27  2
171   47  1
171   110  1
172   1  1
173   1  4
173   2  1
173   54  2
174   1  1
175   1  1
176   1  1
176   39  10
176   66  1
176   104  1
177   1  1
177   19  1
177   39  2
178   1  1
179   1  1
180   1  1
181   1  1
181   2  1
181   27  2
181   47  2
181   48  1
181   66  1
182   1  2
182   2  1
183   1  2
183   2  1
184   1  1
185   1  2
185   14  2
185   19  1
185   27  1
185   58  1
185   89  1
185   103  2
185   108  1
186   1  1
186   27  1
186   39  1
186   100  1
186   103  1
186   104  1
187   1  1
187   12  1
187   27  3
187   52  7
187   53  1
187   54  2
187   55  1
187   56  1
187   89  3
187   103  1
187   104  3
188   1  4
188   2  1
188   27  3
188   39  2
188   100  1
189   1  1
190   1  1
190   27  3
190   54  1
190   103  1
191   1  4
191   27  1
191   49  1
191   83  1
192   1  4
192   27  1
193   1  1
193   6  4
193   8  1
193   11  1
193   12  1
193   27  1
193   33  2
193   35  2
193   39  1
193   45  1
193   47  3
193   48  3
193   49  2
193   51  1
193   52  1
