WORD                    POSITION
situation:  284 
skinner:  734 783 1422 1442 1453 
small:  56 
so:  118 139 405 469 
society:  1094 1111 
some:  298 736 
sometimes:  339 
source:  1284 
specific:  322 
spliced:  1242 
stages:  86 
stand:  306 
stands:  827 
state:  1413 
stated:  521 811 
steps:  57 
stood:  268 
student:  902 
students:  360 378 712 
study:  849 
style:  723 
styles:  1529 
successful:  292 444 
such:  161 983 
suits:  617 
survey:  1331 
sweeping:  872 
system:  6 162 445 507 677 
systems:  635 643 897 918 931 944 
task:  808 
taylor:  1534 
teaching:  37 498 597 742 908 1105 1154 1277 1354 1500 1545 
techniques:  627 817 
technology:  1121 1426 
terms:  523 1590 
test:  70 
tested:  50 
tests:  963 1086 
text:  53 767 1579 
textbook:  35 
that:  100 120 142 251 275 310 320 334 396 700 871 
their:  71 914 
them:  941 
then:  73 
theories:  1133 1526 
theory:  770 
there:  205 637 
these:  512 968 972 
they:  289 904 
third:  332 
thorndike:  103 1057 
those:  421 
three:  639 
threshold:  838 
through:  1546 
tobin:  1311 
traditional:  741 
training:  217 234 241 671 1223 
tried:  549 
tutoring:  1400 
twice:  402 
two:  135 633 649 
typical:  762 
under:  1582 
united:  1293 1371 1516 
university:  1174 1203 1261 
unwin:  1298 
up:  976 
use:  228 
used:  922 978 
variety:  21 
version:  410 1571 
very:  737 
visual:  1335 
war:  199 
was:  128 163 175 206 212 226 243 274 403 456 508 628 653 678 720 749 784 934 952 
washington:  1286 1360 1509 
way:  830 
ways:  346 906 1522 
we:  645 834 
went:  255 
were:  277 290 361 424 436 638 706 713 883 890 898 905 974 
what:  127 211 464 480 
while:  181 
who:  124 911 
wikipedia:  1569 
will:  852 
wonderful:  786 
work:  10 449 856 1266 
worked:  912 
world:  198 
would:  133 
wrote:  104 
yale:  356 1202 1260 
year:  1337 
